Время;Имя узла;IP адрес;CPU (%);RAM (%);Disk (%)
19:41:01;MacBook-Margo;127.0.0.1;4.8;80.0;47.2
19:41:04;MacBook-Margo;127.0.0.1;2.0;79.9;47.2
19:41:07;MacBook-Margo;127.0.0.1;3.7;80.1;47.2
19:41:10;MacBook-Margo;127.0.0.1;5.3;80.2;47.2
19:41:13;MacBook-Margo;127.0.0.1;5.7;80.2;47.2
19:41:16;MacBook-Margo;127.0.0.1;7.6;80.3;47.2
19:41:19;MacBook-Margo;127.0.0.1;2.7;79.8;47.2
19:41:22;MacBook-Margo;127.0.0.1;2.4;79.8;47.2
19:41:25;MacBook-Margo;127.0.0.1;30.0;80.5;47.2
19:41:28;MacBook-Margo;127.0.0.1;18.2;80.3;47.2
19:41:31;MacBook-Margo;127.0.0.1;9.1;80.0;47.2
19:41:34;MacBook-Margo;127.0.0.1;14.9;81.2;47.2
19:41:37;MacBook-Margo;127.0.0.1;7.3;80.4;47.2
19:41:40;MacBook-Margo;127.0.0.1;11.6;81.1;47.2
19:41:44;MacBook-Margo;127.0.0.1;5.3;80.0;47.2
19:41:47;MacBook-Margo;127.0.0.1;17.7;81.4;47.2
19:41:50;MacBook-Margo;127.0.0.1;8.3;80.8;47.2
19:41:53;MacBook-Margo;127.0.0.1;23.2;77.2;47.2
19:41:56;MacBook-Margo;127.0.0.1;20.5;76.2;47.2
19:41:59;MacBook-Margo;127.0.0.1;15.3;76.2;47.2
19:42:02;MacBook-Margo;127.0.0.1;8.2;76.2;47.2
19:42:05;MacBook-Margo;127.0.0.1;13.7;76.3;47.2
19:42:08;MacBook-Margo;127.0.0.1;7.4;76.4;47.2
19:42:11;MacBook-Margo;127.0.0.1;8.0;76.4;47.2
19:42:14;MacBook-Margo;127.0.0.1;10.0;76.4;47.2
19:42:17;MacBook-Margo;127.0.0.1;8.8;76.5;47.2
19:42:20;MacBook-Margo;127.0.0.1;7.2;76.0;47.2
19:42:23;MacBook-Margo;127.0.0.1;10.7;76.4;47.2
19:42:26;MacBook-Margo;127.0.0.1;26.5;78.0;47.2
19:42:29;MacBook-Margo;127.0.0.1;10.4;76.7;47.2
19:42:32;MacBook-Margo;127.0.0.1;6.3;76.6;47.2
19:42:35;MacBook-Margo;127.0.0.1;7.3;76.1;47.2
19:42:38;MacBook-Margo;127.0.0.1;6.5;76.3;47.2
19:42:41;MacBook-Margo;127.0.0.1;3.7;76.2;47.2
19:42:44;MacBook-Margo;127.0.0.1;10.1;77.4;47.2
19:42:47;MacBook-Margo;127.0.0.1;6.4;76.2;47.2
19:42:50;MacBook-Margo;127.0.0.1;6.9;76.7;47.2
19:42:53;MacBook-Margo;127.0.0.1;12.7;77.0;47.2
19:42:56;MacBook-Margo;127.0.0.1;11.5;77.7;47.2
19:42:59;MacBook-Margo;127.0.0.1;10.8;77.6;47.2
19:43:02;MacBook-Margo;127.0.0.1;5.7;77.2;47.2
19:43:05;MacBook-Margo;127.0.0.1;7.5;77.5;47.2
19:43:09;MacBook-Margo;127.0.0.1;7.7;77.5;47.2
19:43:12;MacBook-Margo;127.0.0.1;6.9;77.2;47.2
19:43:15;MacBook-Margo;127.0.0.1;22.4;76.2;47.2
19:43:18;MacBook-Margo;127.0.0.1;9.0;76.1;47.2
19:43:21;MacBook-Margo;127.0.0.1;13.0;76.3;47.2
19:43:24;MacBook-Margo;127.0.0.1;12.3;76.9;47.2
19:43:27;MacBook-Margo;127.0.0.1;10.0;77.3;47.2
19:43:30;MacBook-Margo;127.0.0.1;7.0;77.2;47.2
19:43:33;MacBook-Margo;127.0.0.1;5.8;77.1;47.2
19:43:36;MacBook-Margo;127.0.0.1;6.2;77.1;47.2
19:43:39;MacBook-Margo;127.0.0.1;7.1;77.1;47.2
19:43:42;MacBook-Margo;127.0.0.1;5.3;77.1;47.2
19:43:45;MacBook-Margo;127.0.0.1;9.4;77.6;47.2
19:43:48;MacBook-Margo;127.0.0.1;5.9;77.1;47.2
19:43:51;MacBook-Margo;127.0.0.1;7.8;77.3;47.2
19:43:54;MacBook-Margo;127.0.0.1;6.6;77.2;47.2
19:43:57;MacBook-Margo;127.0.0.1;16.4;77.0;47.2
19:44:00;MacBook-Margo;127.0.0.1;6.6;76.9;47.2
19:44:03;MacBook-Margo;127.0.0.1;5.8;76.9;47.2
19:44:06;MacBook-Margo;127.0.0.1;5.4;76.8;47.2
19:44:09;MacBook-Margo;127.0.0.1;5.4;76.9;47.2
19:44:12;MacBook-Margo;127.0.0.1;5.2;76.8;47.2
19:44:15;MacBook-Margo;127.0.0.1;34.6;76.5;47.2
19:44:18;MacBook-Margo;127.0.0.1;8.0;76.3;47.2
19:44:21;MacBook-Margo;127.0.0.1;9.0;76.2;47.2
19:44:24;MacBook-Margo;127.0.0.1;5.5;76.2;47.2
19:44:27;MacBook-Margo;127.0.0.1;5.7;76.2;47.2
19:44:30;MacBook-Margo;127.0.0.1;6.2;76.2;47.2
19:44:34;MacBook-Margo;127.0.0.1;8.1;76.4;47.2
19:44:37;MacBook-Margo;127.0.0.1;7.8;76.6;47.2
19:44:40;MacBook-Margo;127.0.0.1;5.9;76.6;47.2
19:44:43;MacBook-Margo;127.0.0.1;5.1;76.7;47.2
19:44:46;MacBook-Margo;127.0.0.1;6.1;76.7;47.2
19:44:49;MacBook-Margo;127.0.0.1;5.6;76.7;47.2
19:44:52;MacBook-Margo;127.0.0.1;5.6;76.7;47.2
19:44:55;MacBook-Margo;127.0.0.1;5.5;76.7;47.2
19:44:58;MacBook-Margo;127.0.0.1;5.1;76.7;47.2
19:45:01;MacBook-Margo;127.0.0.1;5.8;76.7;47.2
19:45:04;MacBook-Margo;127.0.0.1;5.1;76.7;47.2
19:45:07;MacBook-Margo;127.0.0.1;7.5;76.7;47.2
19:45:10;MacBook-Margo;127.0.0.1;5.8;76.7;47.2
19:45:13;MacBook-Margo;127.0.0.1;5.5;76.6;47.2
19:45:16;MacBook-Margo;127.0.0.1;5.7;76.6;47.2
19:45:19;MacBook-Margo;127.0.0.1;5.5;76.6;47.2
19:45:22;MacBook-Margo;127.0.0.1;5.7;76.7;47.2
19:45:25;MacBook-Margo;127.0.0.1;5.9;76.6;47.2
19:45:28;MacBook-Margo;127.0.0.1;6.0;76.7;47.2
19:45:31;MacBook-Margo;127.0.0.1;5.8;76.7;47.2
19:45:34;MacBook-Margo;127.0.0.1;5.4;76.6;47.2
19:45:37;MacBook-Margo;127.0.0.1;6.2;76.7;47.2
19:45:40;MacBook-Margo;127.0.0.1;5.9;76.6;47.2
19:45:43;MacBook-Margo;127.0.0.1;6.3;76.6;47.2
19:45:46;MacBook-Margo;127.0.0.1;5.2;76.6;47.2
19:45:49;MacBook-Margo;127.0.0.1;6.1;76.5;47.2
19:45:52;MacBook-Margo;127.0.0.1;5.4;76.6;47.2
19:45:56;MacBook-Margo;127.0.0.1;7.1;76.6;47.2
19:45:59;MacBook-Margo;127.0.0.1;5.4;76.6;47.2
19:46:02;MacBook-Margo;127.0.0.1;5.5;76.5;47.2
19:46:05;MacBook-Margo;127.0.0.1;5.9;76.6;47.2
19:46:08;MacBook-Margo;127.0.0.1;5.1;76.6;47.2
19:46:11;MacBook-Margo;127.0.0.1;6.1;76.5;47.2
19:46:14;MacBook-Margo;127.0.0.1;5.4;76.6;47.2
19:46:17;MacBook-Margo;127.0.0.1;10.5;76.7;47.2
19:46:20;MacBook-Margo;127.0.0.1;7.5;76.7;47.2
19:46:23;MacBook-Margo;127.0.0.1;5.7;76.7;47.2
19:46:26;MacBook-Margo;127.0.0.1;6.6;76.7;47.2
19:46:29;MacBook-Margo;127.0.0.1;6.9;76.7;47.2
19:46:32;MacBook-Margo;127.0.0.1;5.2;76.7;47.2
19:46:35;MacBook-Margo;127.0.0.1;6.0;76.7;47.2
19:46:38;MacBook-Margo;127.0.0.1;5.5;76.7;47.2
19:46:41;MacBook-Margo;127.0.0.1;5.6;76.6;47.2
19:46:44;MacBook-Margo;127.0.0.1;5.6;76.6;47.2
19:46:47;MacBook-Margo;127.0.0.1;5.2;76.6;47.2
19:46:50;MacBook-Margo;127.0.0.1;6.0;76.7;47.2
19:46:53;MacBook-Margo;127.0.0.1;5.6;76.6;47.2
19:46:56;MacBook-Margo;127.0.0.1;5.7;76.6;47.2
